Bedrooms,Type,Price,Bathrooms,Garage,Lot_Area,SqFt,Year_Built,Suburb
2.0,House,1035000.0,1.0,0.0,156.0,79.0,1900.0,Abbotsford
3.0,House,1465000.0,2.0,0.0,134.0,150.0,1900.0,Abbotsford
4.0,House,1600000.0,1.0,2.0,120.0,142.0,2014.0,Abbotsford
3.0,House,1876000.0,2.0,0.0,245.0,210.0,1910.0,Abbotsford
2.0,House,1636000.0,1.0,2.0,256.0,107.0,1890.0,Abbotsford
2.0,House,1097000.0,1.0,2.0,220.0,75.0,1900.0,Abbotsford
3.0,House,1350000.0,2.0,2.0,214.0,190.0,2005.0,Abbotsford
2.0,Unit,750000.0,2.0,1.0,0.0,94.0,2009.0,Abbotsford
2.0,House,1310000.0,1.0,2.0,238.0,97.0,1890.0,Abbotsford
3.0,House,1200000.0,2.0,1.0,113.0,110.0,1880.0,Abbotsford
3.0,House,1176500.0,1.0,1.0,138.0,105.0,1890.0,Abbotsford
2.0,House,890000.0,1.0,1.0,150.0,73.0,1985.0,Abbotsford
4.0,House,1330000.0,2.0,2.0,780.0,135.0,1900.0,Abbotsford
2.0,Unit,500000.0,1.0,1.0,0.0,60.0,1970.0,Abbotsford
2.0,House,1100000.0,2.0,1.0,124.0,135.0,2013.0,Abbotsford
2.0,House,1315000.0,1.0,0.0,147.0,85.0,1900.0,Abbotsford
3.0,House,1447500.0,3.0,1.0,166.0,174.0,2012.0,Abbotsford
2.0,House,1135000.0,2.0,2.0,98.0,128.0,1920.0,Abbotsford
3.0,House,1290000.0,1.0,1.0,168.0,124.0,1950.0,Abbotsford
1.0,Unit,470000.0,1.0,1.0,0.0,50.0,2013.0,Abbotsford
2.0,House,1180000.0,1.0,0.0,162.0,91.0,1900.0,Abbotsford
3.0,House,1195000.0,2.0,1.0,120.0,128.0,1998.0,Abbotsford
2.0,House,1012500.0,1.0,0.0,182.0,82.0,1900.0,Abbotsford
2.0,House,1030000.0,1.0,1.0,172.0,81.0,1930.0,Abbotsford
3.0,Townhouse,840000.0,2.0,1.0,303.0,225.0,2016.0,Airport West
