Bedrooms,Type,Price,Bathrooms,Garage,Lot_Area,SqFt,Year_Built,Suburb
2.0,House,1480000.0,1.0,1.0,202.0,132.0,1970.0,Abbotsford
2.0,House,1035000.0,1.0,0.0,156.0,79.0,1900.0,Abbotsford
3.0,House,1465000.0,2.0,0.0,134.0,150.0,1900.0,Abbotsford
3.0,House,850000.0,2.0,1.0,94.0,132.0,1970.0,Abbotsford
4.0,House,1600000.0,1.0,2.0,120.0,142.0,2014.0,Abbotsford
2.0,House,941000.0,1.0,0.0,181.0,132.0,1970.0,Abbotsford
3.0,House,1876000.0,2.0,0.0,245.0,210.0,1910.0,Abbotsford
2.0,House,1636000.0,1.0,2.0,256.0,107.0,1890.0,Abbotsford
1.0,Unit,300000.0,1.0,1.0,0.0,132.0,1970.0,Abbotsford
2.0,House,1097000.0,1.0,2.0,220.0,75.0,1900.0,Abbotsford
2.0,Unit,700000.0,2.0,1.0,0.0,132.0,1970.0,Abbotsford
3.0,House,1350000.0,2.0,2.0,214.0,190.0,2005.0,Abbotsford
2.0,Unit,750000.0,2.0,1.0,0.0,94.0,2009.0,Abbotsford
2.0,House,1172500.0,1.0,1.0,195.0,132.0,1970.0,Abbotsford
1.0,Unit,441000.0,1.0,1.0,0.0,132.0,1970.0,Abbotsford
2.0,House,1310000.0,1.0,2.0,238.0,97.0,1890.0,Abbotsford
3.0,House,1200000.0,2.0,1.0,113.0,110.0,1880.0,Abbotsford
3.0,House,1176500.0,1.0,1.0,138.0,105.0,1890.0,Abbotsford
3.0,House,955000.0,1.0,0.0,183.0,132.0,1970.0,Abbotsford
2.0,House,890000.0,1.0,1.0,150.0,73.0,1985.0,Abbotsford
4.0,House,1330000.0,2.0,2.0,780.0,135.0,1900.0,Abbotsford
3.0,Townhouse,900000.0,2.0,2.0,0.0,132.0,2010.0,Abbotsford
3.0,Unit,1090000.0,2.0,2.0,4290.0,27.0,1970.0,Abbotsford
2.0,Unit,500000.0,1.0,1.0,0.0,60.0,1970.0,Abbotsford
2.0,House,1100000.0,2.0,1.0,124.0,135.0,2013.0,Abbotsford
2.0,House,1315000.0,1.0,0.0,147.0,85.0,1900.0,Abbotsford
1.0,Unit,426000.0,1.0,1.0,0.0,132.0,1970.0,Abbotsford
3.0,House,1447500.0,3.0,1.0,166.0,174.0,2012.0,Abbotsford
1.0,Unit,457000.0,1.0,1.0,0.0,50.0,1970.0,Abbotsford
2.0,House,1135000.0,2.0,2.0,98.0,128.0,1920.0,Abbotsford
4.0,House,1542000.0,3.0,1.0,0.0,132.0,1970.0,Abbotsford
3.0,House,1290000.0,2.0,2.0,147.0,18.0,1970.0,Abbotsford
3.0,House,1290000.0,1.0,1.0,168.0,124.0,1950.0,Abbotsford
1.0,Unit,470000.0,1.0,1.0,0.0,50.0,2013.0,Abbotsford
2.0,House,1180000.0,1.0,0.0,162.0,91.0,1900.0,Abbotsford
3.0,House,1195000.0,2.0,1.0,120.0,128.0,1998.0,Abbotsford
2.0,House,1012500.0,1.0,0.0,182.0,82.0,1900.0,Abbotsford
2.0,House,1030000.0,1.0,1.0,172.0,81.0,1930.0,Abbotsford
3.0,Townhouse,840000.0,2.0,1.0,303.0,225.0,2016.0,Airport West
3.0,House,730000.0,2.0,1.0,0.0,145.0,1965.0,Airport West
3.0,House,770000.0,2.0,1.0,0.0,145.0,1965.0,Airport West
2.0,House,603000.0,1.0,1.0,272.0,84.0,1950.0,Airport West
3.0,Townhouse,700000.0,2.0,2.0,239.0,134.0,2009.0,Airport West
3.0,House,600000.0,1.0,1.0,290.0,116.0,1980.0,Airport West
2.0,Unit,500000.0,1.0,1.0,168.0,86.0,2011.0,Airport West
3.0,House,720000.0,1.0,1.0,620.0,132.0,1970.0,Airport West
4.0,House,785000.0,1.0,2.0,597.0,127.0,1970.0,Airport West
6.0,House,725000.0,3.0,2.0,976.0,186.0,1980.0,Airport West
2.0,Townhouse,450000.0,1.0,1.0,110.0,90.0,2015.0,Airport West
2.0,Unit,515000.0,1.0,1.0,141.0,73.0,2013.0,Airport West
2.0,Unit,530000.0,1.0,1.0,120.0,94.0,2012.0,Airport West
3.0,House,895000.0,1.0,6.0,1063.0,133.0,1975.0,Airport West
3.0,House,805000.0,1.0,1.0,0.0,105.0,1950.0,Airport West
3.0,Unit,752000.0,1.0,1.0,265.0,130.0,1993.0,Airport West
2.0,Unit,440000.0,1.0,1.0,192.0,132.0,1970.0,Airport West
5.0,House,755000.0,2.0,2.0,596.0,132.0,1970.0,Airport West
3.0,Townhouse,700000.0,2.0,2.0,165.0,133.0,2009.0,Airport West
